,county_name,noHS,HS,someCol,Col
135,Clay County,15.70503527592539,42.81434232144583,27.48622789214265,13.99439451048613
136,Cleburne County,11.75326779734255,42.40034568434698,28.86464297288538,16.98174354542509
137,Cleveland County,9.293075393238112,46.7184957512204,27.28258904357259,16.7058398119689
138,Columbia County,12.98128247099851,39.78364529215003,27.07992313714326,20.1551490997082
139,Conway County,11.86287462624296,40.99853973993464,28.46116403588067,18.67742159794173
140,Craighead County,10.34076889260746,32.83038132648865,27.88263822907951,28.94621155182438
141,Crawford County,15.07868523458724,34.13446241954037,31.71639051371791,19.07046183215449
142,Crittenden County,15.49975700631784,35.4446784383606,31.58593876559209,17.46962578972947
143,Cross County,18.20039158934196,41.7723674129565,25.97258874606283,14.05465225163872
144,Dallas County,12.25321888412017,45.23605150214593,31.00858369098712,11.50214592274678
145,Desha County,19.11231884057971,44.18995859213251,23.02018633540373,13.67753623188406
146,Drew County,13.03491495076097,36.61593554162936,26.60698299015219,23.74216651745747
147,Faulkner County,6.889336437109303,30.10488321606989,30.1088065283917,32.8969738184291
148,Franklin County,13.52198593577904,41.60806574599678,34.27094806405151,10.59900025417267
149,Fulton County,14.10463240377967,37.20903433970961,37.28969808711685,11.39663516939387
150,Garland County,9.622568416392262,31.84094745289023,34.76991615706024,23.76656797365727
151,Grant County,8.403696033136848,42.62386490361638,31.01003664170782,17.96240242153895
